gene	transcript	shNS_R1	shNS_R2	shNS_R3	shRUNX1_R1	shRUNX1_R2	shRUNX1_R3
FAM107B	NM_001282695,NM_001282696,NM_001282697,NM_001282698,NM_001282699,NM_001282700,NM_001282701,NM_001282702,NM_001282703,NM_031453	709.00	1027.00	456.00	419.00	202.00	170.00
LINC01523	NR_109942	1.00	7.00	4.00	9.00	3.00	3.00
ZNF33B	NM_006955	485.17	715.41	346.50	462.32	273.87	255.08
LIPT2	NM_001144869	18.00	19.00	5.00	16.00	22.00	23.00
ZFAND2A	NM_182491	207.00	252.00	114.00	107.00	121.00	93.00
MIR8088	NR_107055	0.00	0.00	0.00	0.00	0.00	0.00
MIR4633	NR_039776	0.00	0.00	0.00	0.00	0.00	0.00
MAN2A1	NM_002372	1113.00	1758.00	817.00	1170.00	1053.00	946.00
MIR580	NR_030306	0.00	0.00	0.00	0.00	0.00	0.00
TRIM24	NM_003852,NM_015905	366.00	577.00	235.00	520.00	589.00	530.00
GPANK1	NM_001199237,NM_001199238,NM_001199239,NM_001199240,NM_033177	127.00	165.00	74.00	90.00	110.00	87.04
XKRX	NM_212559	20.00	25.00	13.00	24.00	21.00	13.00
INSM2	NM_032594	0.00	1.00	1.00	1.00	1.00	2.00
MRPL24	NM_024540,NM_145729	243.00	315.00	142.00	282.00	356.00	344.00
SAMD12	NM_001101676,NM_207506,NR_109794	290.00	447.00	197.00	211.00	183.00	218.00
KIF18A	NM_031217	61.00	98.00	46.00	112.00	176.00	145.00
PDHB	NM_000925,NM_001173468,NR_033384	275.00	387.00	175.00	263.00	277.00	275.00
SNX24	NM_014035	94.00	131.00	63.00	159.00	207.00	177.00
ENGASE	NM_001042573	77.00	140.00	63.00	44.00	60.00	61.00
SPG20	NM_001142294,NM_001142295,NM_001142296,NM_015087	382.00	533.00	252.00	309.00	253.00	223.00
LINC00877	NR_104116	0.00	0.00	0.00	0.00	0.00	0.00
COG6	NM_001145079,NM_020751,NR_026745	221.00	353.00	175.00	272.00	217.00	233.00
PDGFD	NM_025208,NM_033135	0.00	1.00	0.00	0.00	0.00	0.00
RAD54L2	NM_015106	105.00	176.00	85.00	115.00	158.00	148.00
TMEM215	NM_212558	7.00	1.00	1.00	2.00	2.00	0.00
FOXD4L1	NM_012184	4.95	2.75	2.42	2.43	0.00	2.83
ANAPC10	NM_001256706,NM_001256707,NM_001256708,NM_001256709,NM_001256710,NM_001256711,NM_001256712,NM_014885,NR_046345	77.00	91.00	41.03	49.00	61.00	56.00
VGLL1	NM_016267	1.00	1.00	1.00	1.00	1.00	1.00
DISC2	NR_002227	1.04	2.00	0.00	1.03	1.19	1.00
ARID3A	NM_005224	66.00	114.00	44.00	101.00	134.00	110.00
MIR6753	NR_106811	0.00	0.00	0.00	0.00	0.00	0.00
LOC150776	NR_026922	179.31	321.65	159.32	144.83	183.39	134.96
LINC01311	NR_103767	11.00	21.00	4.00	5.00	10.00	11.00
MROH7	NM_001039464,NM_001291332,NR_026782,NR_111931	0.00	0.00	0.00	0.00	0.00	1.00
LINC00954	NR_033875	5.00	9.00	6.00	4.00	2.00	3.00
TUBE1	NM_016262	36.00	67.00	39.00	28.00	44.00	33.00
ANGEL1	NM_015305	385.00	572.00	285.00	326.00	516.00	473.00
C2orf76	NM_001017927	30.00	52.00	16.00	35.00	14.00	20.00
HYI	NM_001190880,NM_001243526,NM_031207	52.48	69.70	28.36	140.64	80.31	77.03
MFSD2B	NM_001080473	0.00	1.00	0.00	1.00	1.00	0.00
LOC255187	NR_122044	0.00	0.00	0.00	0.00	1.00	0.00
LOC101928769	NR_105001	0.00	0.00	0.00	0.00	0.00	0.00
MIR223	NR_029637	0.00	0.00	0.00	0.00	0.00	0.00
DBX2	NM_001004329	0.00	0.00	0.00	0.00	0.00	0.00
MIR611	NR_030342	0.00	0.00	0.00	0.00	0.00	0.00
PIH1D1	NM_017916	188.00	371.00	122.00	199.00	284.00	248.00
FRG1	NM_004477	131.95	161.94	80.31	127.71	98.74	95.31
SSBP1	NM_001256510,NM_001256511,NM_001256512,NM_001256513,NM_003143,NR_046269	481.00	693.00	305.00	417.00	610.00	501.00
LOXL3	NM_001289164,NM_001289165,NM_032603	15.45	30.72	13.59	15.69	40.21	28.48
SLC6A19	NM_001003841	2.00	4.00	1.00	4.00	6.00	3.00
SRGAP2C	NM_001271872	126.78	192.39	82.03	182.63	176.83	174.94
MIRLET7DHG	NR_046163,NR_046165	25.00	56.00	31.00	44.00	37.00	58.00
MEDAG	NM_032849	0.00	0.00	0.00	0.00	0.00	0.00
FIGLA	NM_001004311	0.00	0.00	0.00	0.00	0.00	0.00
NALCN-AS1	NR_047687	0.00	0.00	0.00	0.00	0.00	0.00
ARL6IP6	NM_152522,NR_024526	220.00	278.00	138.00	223.00	157.00	143.00
MAMDC2	NM_153267,NR_125850	1.00	2.00	1.00	5.00	2.00	3.00
KCNH4	NM_012285	0.00	0.00	0.00	1.00	0.00	0.00
MFSD8	NM_152778	195.00	296.00	122.00	123.00	118.00	106.00
ARMCX1	NM_016608	228.00	324.00	159.00	410.00	381.00	318.00
PDS5B	NM_015032	558.00	731.00	360.00	679.00	681.00	597.00
SLC7A8	NM_001267036,NM_001267037,NM_012244,NM_182728,NR_049767	14.00	17.00	16.00	15.00	29.00	30.00
RPTN	NM_001122965	2.00	1.00	1.00	0.00	2.00	0.00
DPH3P1	NM_080750	80.00	99.00	39.00	57.00	82.00	67.00
SNAI3-AS1	NR_024399,NR_024402	12.00	27.00	14.00	14.00	22.00	16.00
ZCCHC6	NM_001185059,NM_001185074,NM_024617	486.00	771.00	350.00	403.00	311.00	310.00
ZDHHC23	NM_173570	116.00	231.00	91.00	113.00	128.00	110.00
SLC20A1	NM_005415	407.00	619.00	272.00	559.00	713.00	602.00
MIR302C	NR_029858	0.00	0.00	0.00	0.00	0.00	0.00
ST20-AS1	NR_028330	42.22	60.15	25.96	33.06	42.59	32.37
GSTM1	NM_000561,NM_146421	0.00	1.03	0.00	1.00	3.00	2.10
DDAH2	NM_001303007,NM_001303008,NM_013974	252.00	410.00	182.00	369.00	416.00	343.00
LINC01284	NR_110382	0.00	0.00	0.00	0.00	0.00	0.00
FBXW4P1	NR_033408	6.00	8.00	1.00	3.00	6.00	7.00
MIR4651	NR_039795	0.00	0.00	0.00	0.00	0.00	0.00
LOC100419583	NR_125376	22.00	37.00	21.00	52.00	44.00	70.00
JAK1	NM_002227	1568.00	2567.00	1063.00	2287.00	2517.00	2270.00
FBXO2	NM_012168	43.00	76.00	22.00	42.00	45.00	31.00
MIR1193	NR_036132	0.00	0.00	0.00	0.00	0.00	0.00
EPHB6	NM_001280794,NM_001280795,NM_004445,NR_104001	11.00	29.00	17.00	8.00	7.00	5.00
CEMP1	NM_001048212	84.00	145.00	56.00	56.74	39.36	39.00
LUZP6	NM_001128619	1450.00	2109.00	938.00	1776.00	1770.00	1622.00
ABCC9	NM_005691,NM_020297	462.88	754.25	438.75	456.67	585.92	504.79
MIR4738	NR_039892	0.00	0.00	0.00	0.00	0.00	0.00
CBLC	NM_001130852,NM_012116	0.00	0.00	0.00	0.00	0.00	0.00
PROX1	NM_001270616,NM_002763	0.00	0.00	1.00	0.00	1.00	0.00
SNORD115-2	NR_003294	0.00	0.00	0.00	0.00	0.00	0.00
RRP1	NM_003683	345.00	530.00	257.00	328.00	591.00	555.00
CDC42EP4	NM_012121	376.00	574.00	244.00	475.00	473.00	389.00
CCNJL	NM_024565	23.00	51.00	29.00	44.00	35.00	44.00
TP53TG5	NM_014477	0.00	0.00	0.00	0.00	1.94	1.00
IST1	NM_001270975,NM_001270976,NM_001270977,NM_001270978,NM_001270979,NM_014761	994.00	1647.00	722.00	1305.00	1319.00	1191.00
TMEM74B	NM_018354	0.00	1.00	0.00	2.00	0.00	1.00
GDPD3	NM_024307	134.00	218.00	91.00	71.00	76.00	88.00
GPR15	NM_005290	0.00	0.00	0.00	0.00	0.00	0.00
LINC01289	NR_038875	0.00	1.00	0.00	0.00	0.00	0.00
SDF2	NM_006923,NR_045585	212.00	419.00	178.00	265.00	317.00	250.00
CTGLF12P	NR_029396	15.78	13.67	0.00	10.74	5.14	0.00
CDCA5	NM_080668	112.00	143.00	52.00	279.00	483.00	456.00
C9orf91	NM_153045	100.00	154.00	72.00	164.00	240.00	235.00
LINC01233	NR_110663,NR_110664	0.00	0.00	0.00	0.00	0.00	0.00
LINC00368	NR_120415	0.00	0.00	0.00	0.00	0.00	0.00
RBP5	NM_031491	0.00	1.00	0.00	0.00	1.00	1.00
MID1	NM_000381,NM_001098624,NM_001193277,NM_001193278,NM_001193279,NM_001193280,NM_001193281,NM_033289,NM_033290	28.00	39.00	12.00	59.00	77.00	62.00
C9orf64	NM_032307	189.00	262.00	135.00	160.00	181.00	182.00
LOC101928279	NR_125892	0.00	0.00	0.00	0.00	0.00	1.00
SNORD111	NR_003079	0.00	0.00	0.00	0.00	0.00	0.00
ALDH3B1	NM_000694,NM_001030010,NM_001161473,NM_001290058,NM_001290059	22.57	47.00	18.30	25.97	37.60	40.86
LOC101927650	NR_110918	0.00	0.00	0.00	0.00	0.00	0.00
ZNF771	NM_001142305,NM_016643	25.00	22.00	9.00	19.00	29.00	25.00
KXD1	NM_001171948,NM_001171949,NM_024069	279.00	428.00	184.00	339.00	428.00	379.00
MIR6786	NR_106844	0.00	0.00	0.00	0.00	0.00	0.00
SCN9A	NM_002977	0.00	0.00	0.00	0.00	0.00	1.00
PYROXD1	NM_024854	123.47	200.16	95.57	118.08	65.48	80.60
PCDHGA4	NM_018917,NM_032053	31.00	45.00	30.00	60.97	62.00	47.00
TMEM64	NM_001008495,NM_001146273	4825.00	7098.00	3268.00	6344.00	2819.00	2487.00
DDHD1	NM_001160147,NM_001160148,NM_030637	567.00	809.00	362.00	482.00	586.00	516.00
DAB2IP	NM_032552,NM_138709	111.00	143.00	62.00	115.00	182.00	162.00
BPIFB3	NM_182658	0.00	0.00	0.00	0.00	0.00	0.00
KIRREL	NM_001286349,NM_018240	0.00	0.00	0.00	0.00	0.00	0.00
HCAR2	NM_177551	17.76	13.80	5.00	7.64	5.44	1.18
FLVCR1-AS1	NR_027285,NR_027286	4.00	5.00	6.00	2.00	6.00	1.00
ZNF385B	NM_001113397,NM_001113398,NM_001282725,NM_152520,NR_104234	21.00	35.00	19.00	27.00	4.00	10.00
SEPT10	NM_144710,NM_178584,NR_047585	62.00	88.00	36.00	235.00	166.00	142.00
HTR5A-AS1	NR_038945	0.00	0.00	0.00	0.00	0.00	0.00
DDX53	NM_182699	0.00	0.00	0.00	0.00	0.00	0.00
GPCPD1	NM_019593	98.00	125.00	75.00	136.00	132.00	104.00
MIR548Q	NR_031752	0.00	0.00	0.00	0.00	0.00	0.00
AGTPBP1	NM_001286715,NM_001286717,NM_015239	248.00	344.00	126.00	229.00	201.00	167.00
CNOT10	NM_001256741,NM_001256742,NM_015442,NR_046352	201.00	299.00	127.00	256.00	351.00	317.00
PCSK5	NM_001190482,NM_006200,NR_120409	0.00	3.00	1.00	1.00	0.00	1.00
EIF3B	NM_001037283,NM_003751	2400.00	3795.00	1614.00	2639.00	3982.00	3515.00
OSTCP1	NR_028496	6.00	5.00	3.00	3.00	6.00	4.00
OR8I2	NM_001003750	0.00	0.00	0.00	0.00	0.00	0.00
FAM212B	NM_019099,NM_198926	65.00	90.00	40.00	107.00	70.07	72.00
HIST1H4F	NM_003540	63.00	107.00	46.00	250.00	280.00	272.00
MIR644A	NR_030374	0.00	0.00	0.00	0.00	0.00	0.00
GLCE	NM_015554	703.00	1073.00	446.00	534.00	432.00	381.00
GPHN	NM_001024218,NM_020806	113.00	150.00	67.00	203.00	334.00	253.00
CPN2	NM_001080513,NM_001291988	0.00	0.00	0.00	0.00	1.00	1.00
ZNF614	NM_025040	64.00	81.00	26.00	94.00	126.00	110.00
CDKL1	NM_001282236,NM_004196	16.00	22.00	15.00	9.00	22.00	17.00
MTMR9LP	NR_026850	12.00	25.00	11.00	5.00	11.00	6.00
CPXCR1	NM_001184771,NM_033048	0.00	0.00	0.00	0.00	0.00	1.00
ZNF23	NM_145911	132.00	159.00	85.00	101.00	91.00	79.00
LAMTOR4	NM_001008395	359.00	497.00	201.00	418.00	429.00	404.00
LINC01530	NR_034159	2.91	13.20	7.87	3.21	5.75	3.00
MYCL	NM_001033081,NM_001033082,NM_005376	25.00	43.00	27.00	169.00	89.00	81.00
USP9X	NM_001039590,NM_001039591	2230.00	3304.00	1507.00	2494.00	2883.00	2606.00
PNMA3	NM_001282535,NM_013364	0.00	0.00	0.00	0.00	1.00	0.00
SNORD116-25	NR_003339	0.00	0.00	0.00	0.00	0.00	0.00
PPP1R26-AS1	NR_038969	31.00	44.00	18.00	21.00	32.00	26.00
NDOR1	NM_001144026,NM_001144027,NM_001144028,NM_014434	288.00	522.00	202.00	186.00	176.00	176.00
PFKFB2	NM_001018053,NM_006212	332.00	550.00	267.00	344.00	352.00	285.00
ZNF417	NM_001297734,NM_152475	195.05	284.38	142.30	237.12	215.99	263.48
RAD1	NM_002853,NR_026591	288.00	449.00	168.00	278.00	274.00	247.00
SLC38A10	NM_001037984,NM_138570	470.00	856.00	350.00	506.00	583.00	547.00
PLET1	NM_001145024	0.00	0.00	0.00	0.00	0.00	0.00
CHI3L2	NM_001025197,NM_001025199,NM_004000	0.00	1.00	0.00	3.00	0.00	0.00
MTMR6	NM_004685	575.00	831.00	347.00	396.00	371.00	332.00
PARL	NM_001037639,NM_018622	316.00	432.00	205.00	274.00	348.00	319.00
MIR6130	NR_106746	0.00	0.00	0.00	0.00	0.00	0.00
SLC25A28	NM_031212	87.00	138.00	72.00	76.00	97.00	89.00
GLTSCR1	NM_015711	36.00	47.00	38.00	39.00	82.00	61.00
TIPIN	NM_001289986,NM_017858	70.00	71.00	37.00	67.00	91.00	93.00
LOC101929095	NR_125911	1.00	3.00	0.00	0.00	0.00	1.00
LOC729950	NR_040033	0.00	0.00	0.00	0.00	0.00	0.00
FAM163B	NM_001080515	0.00	0.00	0.00	0.00	0.00	0.00
ATP5G2	NM_001002031,NM_005176	941.00	1341.00	597.00	1337.00	1322.00	1286.00
PARP2	NM_001042618,NM_005484	197.00	307.00	119.00	230.00	271.00	268.00
LOC102546229	NR_105044	0.00	0.00	0.00	0.00	1.00	0.00
C14orf180	NM_001008404,NM_001286399,NM_001286400	0.00	0.00	0.00	0.00	0.00	0.00
MACROD2	NM_001033087,NM_080676	38.00	72.00	37.00	101.00	56.00	47.00
RPL13A	NM_001270491,NM_012423,NR_073024	10670.72	15632.00	6618.90	14757.00	17586.00	15800.73
C1orf195	NM_001278501,NM_001278502	2.00	2.00	2.00	0.00	0.00	0.00
PADI3	NM_016233	7.00	11.00	6.00	7.00	7.00	7.00
C10orf67	NM_153714	0.00	1.00	1.00	1.00	0.00	1.00
AVP	NM_000490	0.00	0.00	0.00	0.00	0.00	0.00
HNRNPKP3	NR_033868	0.00	0.00	0.00	0.00	0.00	0.00
LIG4	NM_001098268,NM_002312,NM_206937	122.00	200.00	76.00	56.00	56.00	56.00
IL17F	NM_052872	0.00	0.00	0.00	0.00	0.00	0.00
HMGN3	NM_001201362,NM_001201363,NM_004242,NM_138730	254.88	385.00	148.00	207.89	221.98	220.99
MLIP	NM_001281746,NM_001281747,NM_138569	0.00	0.00	0.00	0.00	0.00	0.00
MIR96	NR_029512	0.00	0.00	0.00	0.00	0.00	0.00
CA1	NM_001128829,NM_001128830,NM_001128831,NM_001164830,NM_001291967,NM_001291968,NM_001738	0.00	0.00	0.00	0.00	0.00	1.00
AAAS	NM_001173466,NM_015665	221.00	350.00	146.00	232.00	356.00	307.00
ZSWIM8	NM_001242487,NM_001242488,NM_015037	549.70	878.00	331.20	477.00	391.69	335.32
MIR6133	NR_106749	0.00	0.00	0.00	0.00	0.00	0.00
C17orf67	NM_001085430	25.00	17.00	15.00	26.00	38.00	34.00
LOC401557	NR_046107	0.00	0.00	0.00	0.00	0.00	0.00
LOC100506123	NR_040097	54.74	72.93	40.82	26.65	13.27	23.00
LINC01554	NR_026936	2.00	3.00	0.00	0.00	0.00	0.00
DBF4B	NM_025104,NM_145663,NR_036623	34.00	47.00	32.00	37.00	58.00	63.00
MIR1262	NR_031664	0.00	0.00	0.00	0.00	0.00	0.00
PITPNA	NM_006224	338.81	610.74	265.33	390.05	387.53	377.14
TLX1	NM_001195517,NM_005521	0.00	0.00	0.00	0.00	1.00	0.00
MIER3	NM_001297598,NM_001297599,NM_152622	514.00	696.00	300.00	382.00	329.00	284.00
GPR133	NM_198827	7.00	9.00	4.00	5.00	8.00	4.00
CD9	NM_001769	1581.00	2166.00	903.00	2024.00	1501.00	1367.00
EPC2	NM_015630	395.00	626.00	291.00	421.00	304.00	323.00
NME3	NM_002513	290.00	373.00	163.00	265.00	290.00	303.00
KRT28	NM_181535	0.00	0.00	0.00	0.00	0.00	0.00
IMMP1L	NM_144981	33.97	41.93	13.46	28.60	29.29	23.18
ZSWIM8-AS1	NR_038357	8.30	10.00	18.80	0.00	2.31	4.68
FAM43B	NM_207334	0.00	0.00	0.00	0.00	0.00	0.00
RETN	NM_001193374,NM_020415	1.00	0.00	0.00	0.00	0.00	0.00
PCP4	NM_006198	21.00	30.00	13.00	11.00	27.00	16.00
MIR202	NR_030170	0.00	0.00	0.00	0.00	0.00	0.00
PSMD11	NM_001270482,NM_002815	312.00	439.00	197.00	318.00	668.00	566.00
ANKRD49	NM_017704	67.00	134.00	54.00	57.00	47.00	46.00
ENSA	NM_004436,NM_207042,NM_207043,NM_207044,NM_207045,NM_207046,NM_207047,NM_207168	1960.00	3026.00	1317.00	2840.00	3175.00	2841.00
BGN	NM_001711	0.00	0.00	0.00	0.00	1.00	1.00
GDF1	NM_001492	8.74	27.62	8.19	12.54	28.51	28.52
LOC101927844	NM_001290053	0.00	0.00	0.00	0.00	0.00	0.00
HOXC6	NM_004503,NM_153693	9.66	14.00	9.00	15.00	23.55	16.00
MFNG	NM_001166343,NM_002405,NR_029413	0.00	0.00	0.00	0.00	1.00	0.00
C8B	NM_000066,NM_001278543,NM_001278544	0.00	0.00	0.00	0.00	0.00	0.00
LOC100132741	NR_034004	0.00	0.00	0.00	0.00	0.00	0.00
MBP	NM_001025081,NM_001025092,NM_001025100,NM_001025101,NM_002385	59.00	93.00	36.00	86.00	101.00	90.00
WSCD2	NM_014653	0.00	0.00	0.00	0.00	0.00	0.00
CCAT2	NR_109834	0.00	2.00	3.00	0.00	0.00	0.00
RNF144A	NM_014746	18.00	30.00	14.00	54.00	51.00	24.00
SLC26A2	NM_000112	956.00	1429.00	635.00	1503.00	505.00	492.00
TFAMP1	NR_001288	1.00	1.00	0.00	0.00	4.00	0.00
ST7-OT4	NR_002329	2.00	2.00	4.00	1.28	3.00	3.00
RECQL5	NM_001003715,NM_001003716,NM_004259	639.00	1000.00	405.00	336.00	398.00	379.00
FAM50A	NM_004699	472.00	751.00	320.00	496.00	553.00	478.00
C9orf41-AS1	NR_121183	5.09	6.00	4.00	1.01	4.00	2.02
USP1	NM_001017415,NM_001017416,NM_003368	673.00	923.00	435.00	713.00	620.00	516.00
SNORD113-7	NR_003235	0.00	0.00	0.00	0.00	0.00	0.00
CLK1	NM_001162407,NM_004071,NR_027855,NR_027856	883.00	1328.00	561.00	325.00	266.00	218.00
LOC100133091	NR_029411	51.38	50.61	25.52	28.78	31.05	22.42
PRNT	NR_024267,NR_024268,NR_024269	0.00	0.00	0.00	0.00	0.00	0.00
URB1-AS1	NR_026845	45.00	60.00	30.00	26.00	43.00	30.00
LOC339874	NR_038976	2.00	2.00	0.00	0.00	0.00	0.00
LINC01516	NR_120649	0.00	0.00	0.00	0.00	0.00	0.00
ZCRB1	NM_033114	212.00	324.00	153.00	245.00	238.00	221.00
LOC100128398	NR_036508	11.21	16.19	7.00	7.00	10.00	11.00
TUBB4A	NM_001289123,NM_001289127,NM_001289129,NM_001289130,NM_001289131,NM_006087	0.00	0.00	0.00	0.00	0.00	1.00
BAD	NM_004322,NM_032989	172.00	217.00	116.00	188.00	184.00	151.00
STAG1	NM_005862	519.00	847.00	383.00	682.00	640.00	603.00
MIR1253	NR_031654	0.00	0.00	0.00	0.00	0.00	0.00
MLK7-AS1	NR_033882	7.00	7.06	1.02	6.00	8.10	5.07
SLIT1	NM_003061	68.00	84.27	46.00	76.44	67.00	69.55
IPO13	NM_014652	152.00	250.00	122.00	158.00	223.00	185.00
KCNA2	NM_001204269,NM_004974	0.00	0.00	0.00	0.00	0.00	0.00
MTL5	NM_001039656,NM_004923	78.00	69.00	42.00	105.00	115.00	114.00
RCBTB1	NM_018191	174.00	270.00	113.00	191.00	142.00	112.00
ARHGEF3	NM_001128615,NM_001128616,NM_001289698,NM_019555	61.00	114.00	39.00	98.00	74.00	75.00
RRP15	NM_016052	361.21	469.04	228.85	241.43	286.04	259.04
CMC4	NM_001018024	62.96	91.02	32.39	178.53	125.60	106.76
DTYMK	NM_001165031,NM_012145,NR_033255	124.00	183.00	87.00	232.00	424.00	361.00
AKR1E2	NM_001040177,NM_001271021,NM_001271025,NR_073125,NR_073126,NR_073127	107.00	149.00	56.00	113.00	92.00	74.00
TMEM239	NM_001167670	0.00	1.00	0.00	0.00	1.00	0.00
LINC00202-1	NR_026795	0.00	0.00	0.00	0.00	0.00	0.00
POU4F1	NM_006237	0.00	0.00	0.00	0.00	0.00	0.00
USP40	NM_018218	334.00	585.00	248.00	270.00	334.00	272.00
KCNA4	NM_002233	0.00	0.00	0.00	0.00	0.00	0.00
NEFL	NM_006158	0.00	0.00	0.00	0.00	0.00	0.00
CD38	NM_001775	0.00	1.00	0.00	0.00	0.00	1.00
LOC100506122	NR_038838	0.00	0.00	0.00	0.00	0.00	0.00
NPHP3-AS1	NR_002811	1.00	0.00	0.00	0.00	0.00	1.00
HADH	NM_001184705,NM_005327	127.00	173.00	89.00	220.00	305.00	280.00
TRRAP	NM_001244580,NM_003496	1408.00	2356.00	1173.00	1550.00	2552.00	2230.00
MIR4739	NR_039893	0.00	0.00	0.00	0.00	0.00	0.00
ZNF704	NM_001033723	249.00	378.00	184.00	364.00	280.00	259.00
DHX40	NM_001166301,NM_024612	1852.42	2723.34	1201.02	1736.81	1861.38	1585.61
PTPRA	NM_002836,NM_080840,NM_080841	462.34	741.02	351.10	492.01	506.58	462.00
LOC101928093	NM_001287812	0.00	0.00	0.00	0.99	0.00	0.00
PCDHGB1	NM_018922,NM_032095	66.72	73.28	41.46	190.39	132.18	104.12
SPATA33	NM_001271907,NM_001271908,NM_001271909,NM_001271910,NM_153025,NR_073515,NR_073516	71.00	106.00	49.00	74.00	81.00	57.00
KDM4A	NM_014663	962.97	1523.96	657.00	964.00	1058.00	921.91
ZNF222	NM_001129996,NM_013360	41.00	52.00	25.00	42.41	43.00	34.00
C7orf66	NM_001024607	0.00	0.00	0.00	0.00	0.00	0.00
PGS1	NM_024419,NR_110601,NR_110602,NR_111989	192.00	375.00	158.00	157.00	158.00	155.00
CCL4L1	NM_207007,NM_207007_chr17:34639875_34641846,NR_111969,NR_111969_chr17:34639875_34641846	0.00	0.00	0.00	0.00	0.00	0.00
BLNK	NM_001114094,NM_001258440,NM_001258441,NM_001258442,NM_013314,NR_047680,NR_047681,NR_047682,NR_047683	69.00	125.00	48.00	84.00	37.00	33.00
TTC24	NM_001105669	0.00	0.00	0.00	0.00	0.00	0.00
POLG	NM_001126131,NM_002693	1017.05	1755.41	693.20	595.96	755.48	693.79
AGBL5-AS1	NR_046730	0.00	0.00	0.00	1.00	0.00	0.00
CNEP1R1	NM_001281789,NM_153261,NR_104042,NR_104043	120.00	146.00	68.00	97.00	85.00	64.00
CCNK	NM_001099402	175.88	211.02	113.53	208.61	510.67	461.26
PRPF6	NM_012469	3086.00	4920.00	2015.00	2402.00	3041.00	2813.00
LOC101928804	NR_110737,NR_110738	0.00	0.00	0.00	0.00	0.00	0.00
CD3D	NM_000732,NM_001040651	0.00	0.00	0.00	0.00	0.00	0.00
UCN2	NM_033199	1.00	0.00	0.00	0.00	0.00	0.00
OPHN1	NM_002547	419.32	588.85	320.78	427.88	425.04	438.36
NXPH3	NM_007225	31.00	67.00	32.00	72.00	51.00	37.00
TUNAR	NR_038861	0.00	0.00	0.00	0.00	0.00	0.00
TTLL7	NM_024686	2.00	4.00	0.00	18.00	14.00	11.00
PPP1R14B	NM_138689	682.00	1029.98	432.00	644.00	963.95	919.00
LPCAT1	NM_024830	3308.00	5155.00	2187.00	9646.00	5670.00	5249.00
VN1R4	NM_173857	0.00	0.00	0.00	0.00	0.00	0.00
FAM212A	NM_203370	0.00	0.00	1.00	1.00	0.00	0.00
TCF7	NM_001134851,NM_003202,NM_201632,NM_201634,NM_213648,NR_033449	12.00	18.00	9.00	9.00	16.00	17.00
TOMM20L	NM_207377	4.00	2.00	0.00	6.00	3.00	5.00
GPR52	NM_005684	7.00	1.00	2.00	5.00	3.00	2.00
SCN7A	NM_002976,NR_045628	0.00	0.00	0.00	0.00	0.00	0.00
DNAJB14	NM_001031723,NM_001278310,NM_001278311	671.00	968.00	474.00	456.00	345.00	282.00
TAGLN	NM_001001522,NM_003186	11.00	6.00	1.00	4.00	18.00	3.00
ELP2	NM_001242875,NM_001242876,NM_001242877,NM_001242878,NM_001242879,NM_018255,NR_040110	2103.00	3105.00	1342.00	3226.00	2771.00	2458.00
NDUFS2	NM_001166159,NM_004550	282.00	431.00	190.00	386.00	569.00	497.00
LOC102723373	NR_119378	1.00	3.00	0.00	4.00	8.00	3.00
PPP2R5E	NM_001282179,NM_001282180,NM_001282181,NM_001282182,NM_006246,NR_104104	587.00	776.00	438.00	787.00	1046.00	877.00
ZHX1	NM_001017926,NM_007222,NR_037873,NR_037874	766.24	1075.14	480.77	682.67	595.77	535.35
ZNF560	NM_152476	1.00	0.00	1.00	0.00	0.00	0.00
MCIDAS	NM_001190787	3.00	3.00	0.00	3.00	2.00	0.00
CARNS1	NM_001166222,NM_020811	10.00	12.00	3.00	5.00	11.00	1.00
FLG2	NM_001014342	1.00	0.00	0.00	0.00	0.00	1.00
MTX3	NM_001010891,NM_001167741	393.00	563.00	260.00	419.00	321.00	302.00
EP400NL	NR_003290	7.00	12.00	10.00	5.00	9.00	6.00
SLC25A25-AS1	NR_033374	26.00	31.00	16.00	11.00	12.00	12.00
PLA2G2D	NM_001271814,NM_012400	0.00	0.00	0.00	0.00	0.00	0.00
GOLGA7B	NM_001010917	19.00	36.00	21.00	18.00	29.00	21.00
HCG25	NR_044997	1.03	2.05	2.23	0.00	0.00	0.00
HMBOX1	NM_001135726,NM_024567	60.00	84.00	40.00	83.00	69.00	97.00
CES3	NM_001185176,NM_001185177,NM_024922	12.00	9.04	6.00	5.00	6.07	2.00
LMBRD1	NM_018368	355.00	499.00	249.00	318.00	218.00	235.00
SND1	NM_014390	1311.00	2012.00	880.00	1689.00	2153.00	1918.00
ACVR2B-AS1	NR_028389	13.00	8.00	6.00	11.00	12.00	7.00
RABEPK	NM_001174152,NM_001174153,NM_005833	47.00	95.00	29.00	61.00	114.00	107.00
MIR5008	NR_049806	0.00	0.00	0.00	0.00	0.00	0.00
C15orf32	NM_001301106,NM_153040	0.00	0.00	0.00	0.00	0.00	0.00
FAM35DP	NR_027634	19.34	36.95	14.68	10.43	0.00	9.58
PAPPA	NM_002581	3.84	2.56	3.84	3.84	3.84	3.00
TDRD3	NM_001146070,NM_001146071,NM_030794	120.00	162.00	62.00	153.00	126.00	107.00
RAB3IL1	NM_001271686,NM_013401	9.00	6.00	10.00	11.00	19.00	14.00
UCA1	NR_015379	6.00	20.00	13.00	6.00	4.00	4.00
LOC100507351	NR_040050	0.00	1.00	0.00	0.00	0.00	0.00
LOC101927378	NR_110079,NR_110080	0.00	1.00	1.00	1.00	0.00	0.00
