PeakID (cmd=annotatePeaks.pl reproducible_peaks_blacklist_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-158	chr1	206557086	206557385	+	1	NA	promoter-TSS (ENST00000577571.5)	protein_coding-promoter-TSS (ENST00000577571.5)	70	ENST00000577571.5	ENSG00000266094	ENST00000579436			RASSF5			protein_coding
chr16-631	chr16	74296649	74296854	+	1	NA	promoter-TSS (ENST00000219313.9)	protein_coding-promoter-TSS (ENST00000219313.9)	0	ENST00000569389.5	ENSG00000261404	ENST00000562888			PSMD7-DT			lncRNA
chr19-219	chr19	48752721	48753006	+	1	NA	promoter-TSS (ENST00000645652.2)	protein_coding-promoter-TSS (ENST00000645652.2)	-222	ENST00000645652.2	ENSG00000174951	ENST00000645652			FUT1			protein_coding
chr21-85	chr21	45330065	45330324	+	1	NA	Intergenic	Intergenic	-6513	ENST00000445242.1	ENSG00000229382	ENST00000445242			ENSG00000229382			lncRNA
chr11-371	chr11	120121924	120122166	+	1	NA	promoter-TSS (ENST00000524956.4)	protein_coding-promoter-TSS (ENST00000524956.4)	-52	ENST00000525887.5	ENSG00000137699	ENST00000627238			TRIM29			protein_coding
chr20-1827	chr20	53346402	53346575	+	1	NA	intron (ENST00000606932.1, intron 1 of 2)	protein_coding-intron (ENST00000371497.10, intron 2 of 2)	66422	ENST00000436286.2	ENSG00000231703	ENST00000436286			ENSG00000231703			lncRNA
chr17-628	chr17	77287014	77287283	+	1	NA	promoter-TSS (ENST00000431235.6)	protein_coding-promoter-TSS (ENST00000431235.6)	-743	ENST00000431235.6	ENSG00000184640	ENST00000588958			SEPTIN9			protein_coding
chr2-514	chr2	150486205	150486395	+	1	NA	promoter-TSS (ENST00000409557.5)	protein_coding-promoter-TSS (ENST00000409557.5)	566	ENST00000497865.5	ENSG00000115963	ENST00000263895			RND3			protein_coding
chr6-23	chr6	57961344	57961614	+	1	NA	promoter-TSS (ENST00000399751.6)	lncRNA-promoter-TSS (ENST00000399751.6)	22	ENST00000663799.1	ENSG00000225096	ENST00000671027			ENSG00000225096			lncRNA
chr7-265	chr7	45543525	45543755	+	1	NA	Intergenic	Intergenic	-8959	ENST00000339545.4	ENSG00000226999	ENST00000339545			ENSG00000226999			processed_pseudogene
chr20-1762	chr20	48616812	48617001	+	1	NA	Intergenic	Intergenic	25832	ENST00000496915.1	ENSG00000124126	ENST00000496915			PREX1			protein_coding
chr9-308	chr9	133460514	133460768	+	1	NA	intron (ENST00000542192.5, intron 1 of 4)	protein_coding-intron (ENST00000291722.11, intron 1 of 3)	643	ENST00000489519.1	ENSG00000160325	ENST00000444798			CACFD1			protein_coding
chr7-41	chr7	100101419	100101604	+	1	NA	promoter-TSS (ENST00000303887.10)	protein_coding-promoter-TSS (ENST00000303887.10)	-38	ENST00000394061.7	ENSG00000221838	ENST00000394061			AP4M1			protein_coding
chr12-185	chr12	96316169	96316426	+	1	NA	intron (ENST00000552496.5, intron 3 of 4)	protein_coding-intron (ENST00000261211.8, intron 3 of 16)	-12784	ENST00000364565.1	ENSG00000201435	ENST00000364565			RNU4-24P			snRNA
chr17-1387	chr17	74431168	74431424	+	1	NA	promoter-TSS (ENST00000342648.9)	protein_coding-promoter-TSS (ENST00000342648.9)	-88	ENST00000342648.9	ENSG00000170412	ENST00000582873			GPRC5C			protein_coding
chr3-273	chr3	14884800	14885007	+	1	NA	intron (ENST00000468662.5, intron 1 of 16)	protein_coding-intron (ENST00000285046.10, intron 4 of 19)	2598	ENST00000468662.5	ENSG00000154783	ENST00000457774			FGD5			protein_coding
chr3-694	chr3	62145224	62145461	+	1	NA	intron (ENST00000474889.6, intron 6 of 29)	protein_coding-intron (ENST00000295874.14, intron 6 of 28)	-20734	ENST00000462623.1	ENSG00000237456	ENST00000462623			ID2B			processed_pseudogene
chr9-29	chr9	107819730	107820020	+	1	NA	Intergenic	Intergenic	-7961	ENST00000483093.3	ENSG00000244104	ENST00000483093			RN7SL659P			misc_RNA
chr20-701	chr20	53877318	53877388	+	1	NA	Intergenic	Intergenic	-1796	ENST00000497904.1	ENSG00000241721	ENST00000497904			SUMO1P1			processed_pseudogene
chr8-324	chr8	127736127	127736355	+	1	NA	promoter-TSS (ENST00000520751.1)	protein_coding-promoter-TSS (ENST00000520751.1)	10	ENST00000520751.1	ENSG00000136997	ENST00000707115			MYC			protein_coding
chr8-87	chr8	132775101	132775388	+	1	NA	promoter-TSS (ENST00000220847.8)	protein_coding-promoter-TSS (ENST00000220847.8)	-114	ENST00000622263.4	ENSG00000129292	ENST00000395390			PHF20L1			protein_coding
chr21-13	chr21	42366743	42366948	+	1	NA	promoter-TSS (ENST00000291527.3)	protein_coding-promoter-TSS (ENST00000291527.3)	-310	ENST00000291527.3	ENSG00000160182	ENST00000291527			TFF1			protein_coding
chr8-34	chr8	55773208	55773459	+	1	NA	promoter-TSS (ENST00000260129.6)	protein_coding-promoter-TSS (ENST00000260129.6)	1	ENST00000523073.5	ENSG00000167904	ENST00000517576			TMEM68			protein_coding
chr7-327	chr7	143902082	143902204	+	1	NA	promoter-TSS (ENST00000355951.2)	protein_coding-promoter-TSS (ENST00000355951.2)	-17	ENST00000355951.2	ENSG00000198420	ENST00000479870			TCAF1			protein_coding
chr8-98	chr8	63007958	63008212	+	1	NA	intron (ENST00000674864.1, intron 7 of 7)	protein_coding-intron (ENST00000674864.1, intron 7 of 7)	-4983	ENST00000524309.1	ENSG00000240915	ENST00000524309			ENSG00000240915			lncRNA
chr12-36	chr12	55728363	55728582	+	1	NA	promoter-TSS (ENST00000546939.5)	protein_coding-promoter-TSS (ENST00000546939.5)	10	ENST00000552692.5	ENSG00000135404	ENST00000552692			CD63			protein_coding
chr3-335	chr3	123961295	123961591	+	1	NA	promoter-TSS (ENST00000310351.8)	protein_coding-promoter-TSS (ENST00000310351.8)	-35	ENST00000488653.6	ENSG00000175455	ENST00000485949			CCDC14			protein_coding
chr19-82	chr19	10252028	10252292	+	1	NA	promoter-TSS (ENST00000253099.11)	protein_coding-promoter-TSS (ENST00000253099.11)	-54	ENST00000253099.11	ENSG00000105364	ENST00000590702			MRPL4			protein_coding
chr7-59	chr7	151227219	151227424	+	1	NA	promoter-TSS (ENST00000222388.6)	protein_coding-promoter-TSS (ENST00000222388.6)	-116	ENST00000287844.7	ENSG00000033050	ENST00000287844			ABCF2			protein_coding
chr8-6	chr8	94719689	94719939	+	1	NA	promoter-TSS (ENST00000414645.6)	protein_coding-promoter-TSS (ENST00000414645.6)	-61	ENST00000520774.5	ENSG00000156162	ENST00000523020			DPY19L4			protein_coding
chr16-58	chr16	3150455	3150736	+	1	NA	TTS (ENST00000428155.1)	lncRNA-TTS (ENST00000428155.1)	3467	ENST00000576807.1	ENSG00000293410	ENST00000576807			CASP16P			lncRNA
chr15-66	chr15	76311282	76311449	+	1	NA	promoter-TSS (ENST00000267950.12)	protein_coding-promoter-TSS (ENST00000267950.12)	27	ENST00000688908.1	ENSG00000140374	ENST00000685118			ETFA			protein_coding
chr7-13	chr7	97872161	97872379	+	1	NA	promoter-TSS (ENST00000394309.7)	protein_coding-promoter-TSS (ENST00000394309.7)	-105	ENST00000442734.5	ENSG00000070669	ENST00000422745			ASNS			protein_coding
chr12-428	chr12	91986179	91986410	+	1	NA	exon (ENST00000546975.4, exon 5 of 5)	lncRNA-exon (ENST00000546975.4, exon 5 of 5)	2694	ENST00000664336.1	ENSG00000257242	ENST00000552277			LINC01619			lncRNA
chr3-7	chr3	129485755	129486040	+	1	NA	intron (ENST00000693654.1, intron 15 of 29)	protein_coding-intron (ENST00000296266.7, intron 16 of 30)	-1609	ENST00000511425.5	ENSG00000163913	ENST00000693129			IFT122			protein_coding
chr7-219	chr7	128455582	128455870	+	1	NA	promoter-TSS (ENST00000257696.5)	protein_coding-promoter-TSS (ENST00000257696.5)	-114	ENST00000462662.1	ENSG00000273184	ENST00000462662			ENSG00000273184			lncRNA
chr4-36	chr4	138910893	138911136	+	1	NA	intron (ENST00000507038.1, intron 1 of 2)	lncRNA-intron (ENST00000507038.1, intron 1 of 2)	13218	ENST00000506416.1	ENSG00000250577	ENST00000506416			ENSG00000250577			lncRNA
chr15-378	chr15	74461013	74461299	+	1	NA	promoter-TSS (ENST00000361351.8)	protein_coding-promoter-TSS (ENST00000361351.8)	4	ENST00000395081.7	ENSG00000138629	ENST00000565335			UBL7			protein_coding
chr5-319-2	chr5	139293706	139293739	+	1	NA	promoter-TSS (ENST00000394805.8)	protein_coding-promoter-TSS (ENST00000394805.8)	0	ENST00000502499.5	ENSG00000015479	ENST00000502422			MATR3			protein_coding
chr5-126	chr5	148398341	148398594	+	1	NA	promoter-TSS (ENST00000502629.1)	protein_coding-promoter-TSS (ENST00000502629.1)	-530	ENST00000502629.1	ENSG00000145868	ENST00000508176			FBXO38			protein_coding
chr17-1374	chr17	64443223	64443363	+	1	NA	Intergenic	Intergenic	-5744	ENST00000615220.4	ENSG00000271605	ENST00000605096			MILR1			protein_coding
chr3-311	chr3	64267763	64267888	+	1	NA	intron (ENST00000498162.2, intron 2 of 4)	protein_coding-intron (ENST00000295902.11, intron 2 of 8)	349	ENST00000564377.6	ENSG00000163637	ENST00000639113			PRICKLE2			protein_coding
chr12-76-2	chr12	111685882	111685913	+	1	NA	promoter-TSS (ENST00000313698.9)	protein_coding-promoter-TSS (ENST00000313698.9)	59	ENST00000419234.9	ENSG00000089234	ENST00000547043			BRAP			protein_coding
chr20-64	chr20	50795120	50795367	+	1	NA	intron (ENST00000609336.5, intron 1 of 5)	protein_coding-intron (ENST00000358791.9, intron 1 of 5)	143	ENST00000485049.1	ENSG00000124243	ENST00000485049			BCAS4			protein_coding
chr14-12	chr14	93043525	93043794	+	1	NA	intron (ENST00000555495.5, intron 1 of 8)	protein_coding-intron (ENST00000267615.11, intron 3 of 10)	-6685	ENST00000553655.1	ENSG00000100605	ENST00000555495			ITPK1			protein_coding
chr17-457	chr17	83155373	83155600	+	1	NA	intron (ENST00000652318.1, intron 2 of 3)	lncRNA-intron (ENST00000572343.1, intron 2 of 2)	11355	ENST00000572343.1	ENSG00000262898	ENST00000651869			ENSG00000262898			lncRNA
chr10-92	chr10	43026354	43026493	+	1	NA	Intergenic	Intergenic	28860	ENST00000579544.1	ENSG00000263795	ENST00000579544			MIR5100			miRNA
chr10-79	chr10	20622970	20623146	+	1	NA	Intergenic	Intergenic	71088	ENST00000577898.1	ENSG00000265372	ENST00000577898			MIR4675			miRNA
chr20-943	chr20	47729747	47730002	+	1	NA	intron (ENST00000478766.1, intron 1 of 1)	protein_coding-intron (ENST00000359930.8, intron 3 of 20)	7069	ENST00000478766.1	ENSG00000196562	ENST00000474450			SULF2			protein_coding
chr8-510	chr8	133449302	133449490	+	1	NA	Intergenic	Intergenic	26538	ENST00000522204.1	ENSG00000008513	ENST00000520020			ST3GAL1			protein_coding
chr5-263	chr5	43483771	43484049	+	1	NA	promoter-TSS (ENST00000397080.8)	protein_coding-promoter-TSS (ENST00000397080.8)	-3	ENST00000664081.1	ENSG00000249492	ENST00000692330			ENSG00000249492			lncRNA
chr10-44	chr10	104268794	104269094	+	1	NA	promoter-TSS (ENST00000338595.7)	protein_coding-promoter-TSS (ENST00000338595.7)	71	ENST00000450629.6	ENSG00000065621	ENST00000450629			GSTO2			protein_coding
chr13-10	chr13	19864194	19864298	+	1	NA	promoter-TSS (ENST00000337963.9)	protein_coding-promoter-TSS (ENST00000337963.9)	408	ENST00000620617.2	ENSG00000275964	ENST00000620617			ENSG00000275964			lncRNA
chr19-160	chr19	4800871	4801146	+	1	NA	exon (ENST00000269856.5, exon 1 of 1)	protein_coding-exon (ENST00000269856.5, exon 1 of 1)	-5449	ENST00000596170.1	ENSG00000269604	ENST00000596170			ENSG00000269604			lncRNA
chr17-827	chr17	7296407	7296440	+	1	NA	Intergenic	Intergenic	-1784	ENST00000007699.10	ENSG00000006047	ENST00000571834			YBX2			protein_coding
chr19-125	chr19	35248322	35248391	+	1	NA	promoter-TSS (ENST00000347609.8)	protein_coding-promoter-TSS (ENST00000347609.8)	26	ENST00000597933.5	ENSG00000105699	ENST00000602003			LSR			protein_coding
chr10-18	chr10	14953944	14954219	+	1	NA	promoter-TSS (ENST00000357717.6)	protein_coding-promoter-TSS (ENST00000357717.6)	2	ENST00000697076.1	ENSG00000152457	ENST00000697072			DCLRE1C			protein_coding
chr13-11	chr13	21670900	21671176	+	1	NA	promoter-TSS (ENST00000382353.6)	protein_coding-promoter-TSS (ENST00000382353.6)	-35	ENST00000382353.6	ENSG00000102678	ENST00000478546			FGF9			protein_coding
chr12-461	chr12	119479358	119479633	+	1	NA	exon (ENST00000546345.5, exon 5 of 5)	protein_coding-exon (ENST00000546345.5, exon 5 of 5)	-114279	ENST00000426426.3	ENSG00000224982	ENST00000426426			TMEM233			protein_coding
chr20-498	chr20	35616098	35616332	+	1	NA	promoter-TSS (ENST00000454819.1)	protein_coding-promoter-TSS (ENST00000454819.1)	386	ENST00000374273.8	ENSG00000061656	ENST00000679710			SPAG4			protein_coding
chr4-80	chr4	99563585	99563855	+	1	NA	promoter-TSS (ENST00000273962.7)	protein_coding-promoter-TSS (ENST00000273962.7)	3	ENST00000514547.1	ENSG00000145331	ENST00000514547			TRMT10A			protein_coding
chr1-4	chr1	114757961	114758253	+	1	NA	promoter-TSS (ENST00000261443.9)	protein_coding-promoter-TSS (ENST00000261443.9)	-80	ENST00000530886.5	ENSG00000009307	ENST00000690420			CSDE1			protein_coding
chr7-23	chr7	2425404	2425687	+	1	NA	intron (ENST00000432336.1, intron 1 of 1)	protein_coding-intron (ENST00000258711.7, intron 1 of 1)	-12218	ENST00000313156.3	ENSG00000136213	ENST00000313156			CHST12			protein_coding
chr2-133	chr2	38076707	38076794	+	1	NA	promoter-TSS (ENST00000490576.2)	protein_coding-promoter-TSS (ENST00000490576.2)	470	ENST00000589303.5	ENSG00000232973	ENST00000629719			CYP1B1-AS1			lncRNA
chr1-348	chr1	157132666	157132950	+	1	NA	TTS (ENST00000326786.4)	protein_coding-TTS (ENST00000326786.4)	4446	ENST00000422857.1	ENSG00000235700	ENST00000422857			CYCSP52			processed_pseudogene
chr7-278	chr7	73578200	73578417	+	1	NA	promoter-TSS (ENST00000432538.5)	protein_coding-promoter-TSS (ENST00000432538.5)	9	ENST00000468669.5	ENSG00000106638	ENST00000424598			TBL2			protein_coding
chr3-613	chr3	12868067	12868293	+	1	NA	intron (ENST00000703598.1, intron 4 of 4)	protein_coding-intron (ENST00000454887.1, intron 3 of 3)	17031	ENST00000448129.1	ENSG00000232746	ENST00000448129			LINC02022			lncRNA
chr2-321	chr2	121755545	121755796	+	1	NA	promoter-TSS (ENST00000389682.8)	protein_coding-promoter-TSS (ENST00000389682.8)	7	ENST00000490104.5	ENSG00000211460	ENST00000409193			TSN			protein_coding
chr16-350-2	chr16	19555444	19555510	+	1	NA	promoter-TSS (ENST00000251143.9)	protein_coding-promoter-TSS (ENST00000251143.9)	61	ENST00000542263.5	ENSG00000103544	ENST00000566850			VPS35L			protein_coding
chr12-77	chr12	116390419	116390666	+	1	NA	Intergenic	Intergenic	21778	ENST00000548506.1	ENSG00000258346	ENST00000548506			ENSG00000258346			lncRNA
chr9-122	chr9	33221337	33221619	+	1	NA	intron (ENST00000379725.5, intron 2 of 4)	protein_coding-intron (ENST00000379725.5, intron 2 of 4)	3113	ENST00000379725.5	ENSG00000122711	ENST00000379721			SPINK4			protein_coding
chr17-131-2	chr17	57167123	57167179	+	1	NA	Intergenic	Intergenic	46149	ENST00000649027.1	ENSG00000285785	ENST00000649027			ENSG00000285785			lncRNA
chr14-98	chr14	96104778	96105071	+	1	NA	Intergenic	Intergenic	65540	ENST00000553782.1	ENSG00000227051	ENST00000556728			C14orf132			protein_coding
chr19-45	chr19	10749165	10749353	+	1	NA	intron (ENST00000586939.5, intron 1 of 4)	protein_coding-intron (ENST00000355667.11, intron 1 of 20)	-5862	ENST00000588976.1	ENSG00000079805	ENST00000408974			DNM2			protein_coding
chr5-37	chr5	174483463	174483704	+	1	NA	intron (ENST00000515513.5, intron 2 of 4)	lncRNA-intron (ENST00000507361.5, intron 2 of 3)	-20100	ENST00000685618.1	ENSG00000249306	ENST00000507361			LINC01411			lncRNA
chr8-195	chr8	99013315	99013397	+	1	NA	promoter-TSS (ENST00000355155.6)	protein_coding-promoter-TSS (ENST00000355155.6)	45	ENST00000684308.1	ENSG00000132549	ENST00000682853			VPS13B			protein_coding
chr15-329	chr15	56918472	56918748	+	1	NA	promoter-TSS (ENST00000267811.9)	protein_coding-promoter-TSS (ENST00000267811.9)	-13	ENST00000438423.6	ENSG00000140262	ENST00000557843			TCF12			protein_coding
chr3-54	chr3	15292821	15293043	+	1	NA	intron (ENST00000465894.6, intron 3 of 4)	protein_coding-intron (ENST00000383791.8, intron 3 of 8)	-16887	ENST00000366391.6	ENSG00000131370	ENST00000366391			SH3BP5			protein_coding
chr17-645	chr17	29344400	29344643	+	1	NA	intron (ENST00000685798.1, intron 2 of 2)	lncRNA-intron (ENST00000685798.1, intron 2 of 2)	-3699	ENST00000492004.1	ENSG00000239256	ENST00000492004			RPL35AP35			processed_pseudogene
chr21-107-2	chr21	40320998	40321244	+	1	NA	intron (ENST00000617870.4, intron 5 of 29)	protein_coding-intron (ENST00000400454.6, intron 8 of 32)	32533	ENST00000404019.2	ENSG00000171587	ENST00000617870			DSCAM			protein_coding
chr11-250	chr11	842698	842904	+	1	NA	promoter-TSS (ENST00000322028.5)	protein_coding-promoter-TSS (ENST00000322028.5)	-11	ENST00000397411.6	ENSG00000214063	ENST00000397406			TSPAN4			protein_coding
chr20-1415	chr20	47857610	47857711	+	1	NA	Intergenic	Intergenic	-2128	ENST00000398959.2	ENSG00000215448	ENST00000398959			SRMP1			processed_pseudogene
chr7-62	chr7	1255063	1255349	+	1	NA	Intergenic	Intergenic	-12147	ENST00000453798.1	ENSG00000233082	ENST00000453798			ENSG00000233082			lncRNA
chr3-932	chr3	194270640	194270922	+	1	NA	Intergenic	Intergenic	-5901	ENST00000440556.1	ENSG00000228271	ENST00000440556			LINC02048			lncRNA
chr1-521	chr1	179399719	179399803	+	1	NA	intron (ENST00000617277.4, intron 11 of 24)	protein_coding-intron (ENST00000367618.8, intron 11 of 25)	30860	ENST00000434088.1	ENSG00000162779	ENST00000511157			AXDND1			protein_coding
chr14-43	chr14	24188797	24189082	+	1	NA	promoter-TSS (ENST00000354464.11)	protein_coding-promoter-TSS (ENST00000354464.11)	25	ENST00000655961.1	ENSG00000287765	ENST00000655961			ENSG00000287765			lncRNA
chr20-1076	chr20	59299852	59300146	+	1	NA	promoter-TSS (ENST00000311585.11)	protein_coding-promoter-TSS (ENST00000311585.11)	-444	ENST00000311585.11	ENSG00000124205	ENST00000672969			EDN3			protein_coding
chr17-833	chr17	20155601	20155770	+	1	NA	promoter-TSS (ENST00000395522.6)	protein_coding-promoter-TSS (ENST00000395522.6)	-57	ENST00000579688.2	ENSG00000128487	ENST00000679058			SPECC1			protein_coding
chr1-258	chr1	155208897	155209020	+	1	NA	promoter-TSS (ENST00000424959.5)	protein_coding-promoter-TSS (ENST00000424959.5)	93	ENST00000486260.5	ENSG00000169231	ENST00000541990			THBS3			protein_coding
chr7-439	chr7	75739395	75739561	+	1	NA	promoter-TSS (ENST00000336926.11)	protein_coding-promoter-TSS (ENST00000336926.11)	-516	ENST00000479835.1	ENSG00000127946	ENST00000485723			HIP1			protein_coding
chr17-99	chr17	61556336	61556603	+	1	NA	Intergenic	Intergenic	34750	ENST00000521764.3	ENSG00000253506	ENST00000521764			NACA2			protein_coding
chr20-194	chr20	60053388	60053572	+	1	NA	Intergenic	Intergenic	-2373	ENST00000660831.1	ENSG00000176659	ENST00000691246			LINC02910			lncRNA
chr15-256	chr15	83207692	83207972	+	1	NA	promoter-TSS (ENST00000299633.7)	protein_coding-promoter-TSS (ENST00000299633.7)	-9	ENST00000299633.7	ENSG00000166503	ENST00000299633			HDGFL3			protein_coding
chr15-107	chr15	66386481	66386755	+	1	NA	promoter-TSS (ENST00000307102.10)	protein_coding-promoter-TSS (ENST00000307102.10)	89	ENST00000561773.1	ENSG00000075131	ENST00000568216			TIPIN			protein_coding
chr20-2214	chr20	48583663	48583680	+	1	NA	Intergenic	Intergenic	59067	ENST00000496915.1	ENSG00000124126	ENST00000496915			PREX1			protein_coding
chr1-568	chr1	1116033	1116118	+	1	NA	promoter-TSS (ENST00000379325.7)	protein_coding-promoter-TSS (ENST00000379325.7)	6	ENST00000379339.5	ENSG00000131591	ENST00000427787			C1orf159			protein_coding
chr8-15	chr8	124855346	124855642	+	1	NA	intron (ENST00000666508.1, intron 3 of 4)	lncRNA-intron (ENST00000528090.5, intron 3 of 5)	2022	ENST00000533496.1	ENSG00000255491	ENST00000533516			ENSG00000255491			lncRNA
chr10-158	chr10	72272659	72272927	+	1	NA	exon (ENST00000687260.2, exon 1 of 1)	lncRNA-exon (ENST00000687260.2, exon 1 of 1)	911	ENST00000687260.2	ENSG00000289506	ENST00000687260			ENSG00000289506			lncRNA
chr2-548	chr2	189674462	189674529	+	1	NA	promoter-TSS (ENST00000461516.5)	protein_coding-promoter-TSS (ENST00000461516.5)	-112	ENST00000461516.5	ENSG00000151687	ENST00000441800			ANKAR			protein_coding
chr2-280	chr2	47028919	47029196	+	1	NA	promoter-TSS (ENST00000698504.1)	protein_coding-promoter-TSS (ENST00000698504.1)	-257	ENST00000698504.1	ENSG00000068724	ENST00000651101			TTC7A			protein_coding
chr10-320	chr10	132421204	132421336	+	1	NA	TTS (ENST00000428814.1)	lncRNA-TTS (ENST00000428814.1)	2187	ENST00000428814.1	ENSG00000231705	ENST00000428814			ENSG00000231705			lncRNA
chr16-200	chr16	31459336	31459499	+	1	NA	promoter-TSS (ENST00000268314.9)	protein_coding-promoter-TSS (ENST00000268314.9)	-84	ENST00000268314.9	ENSG00000140691	ENST00000570119			ARMC5			protein_coding
chr17-468-2	chr17	50904764	50904939	+	1	NA	intron (ENST00000514358.1, intron 2 of 4)	lncRNA-intron (ENST00000514358.1, intron 2 of 4)	-3827	ENST00000519432.1	ENSG00000229980	ENST00000416263			TOB1-AS1			lncRNA
chr22-50	chr22	20982230	20982345	+	1	NA	promoter-TSS (ENST00000414985.5)	protein_coding-promoter-TSS (ENST00000414985.5)	-3	ENST00000700578.1	ENSG00000099949	ENST00000452988			LZTR1			protein_coding
chr3-173	chr3	153161983	153162270	+	1	NA	promoter-TSS (ENST00000323534.5)	protein_coding-promoter-TSS (ENST00000323534.5)	-100	ENST00000323534.5	ENSG00000181467	ENST00000323534			RAP2B			protein_coding
chr9-19	chr9	107541572	107541859	+	1	NA	Intergenic	Intergenic	1901	ENST00000422463.1	ENSG00000227350	ENST00000422463			PPIAP88			processed_pseudogene
chr20-1655	chr20	47195121	47195327	+	1	NA	Intergenic	Intergenic	28257	ENST00000584070.1	ENSG00000264901	ENST00000584070			MIR3616			miRNA
chr3-36	chr3	15427350	15427627	+	1	NA	promoter-TSS (ENST00000383789.9)	protein_coding-promoter-TSS (ENST00000383789.9)	30	ENST00000443029.5	ENSG00000206562	ENST00000453819			METTL6			protein_coding
chr17-1801	chr17	63447149	63447324	+	1	NA	promoter-TSS (ENST00000360793.8)	protein_coding-promoter-TSS (ENST00000360793.8)	-882	ENST00000578072.1	ENSG00000008283	ENST00000581573			CYB561			protein_coding
chr10-267	chr10	73872014	73872133	+	1	NA	promoter-TSS (ENST00000700403.1)	protein_coding-promoter-TSS (ENST00000700403.1)	317	ENST00000700394.1	ENSG00000148660	ENST00000322635			CAMK2G			protein_coding
chr9-53	chr9	86354261	86354558	+	1	NA	promoter-TSS (ENST00000277141.10)	protein_coding-promoter-TSS (ENST00000277141.10)	1	ENST00000375963.8	ENSG00000083223	ENST00000375957			TUT7			protein_coding
chr6-13	chr6	31197873	31198152	+	1	NA	promoter-TSS (ENST00000414008.3)	lncRNA-promoter-TSS (ENST00000414008.3)	25	ENST00000606367.1	ENSG00000272501	ENST00000606367			ENSG00000272501			lncRNA
chr12-138	chr12	130340067	130340320	+	1	NA	intron (ENST00000535956.5, intron 1 of 4)	protein_coding-intron (ENST00000245255.7, intron 1 of 20)	694	ENST00000535956.5	ENSG00000125207	ENST00000535956			PIWIL1			protein_coding
chr12-88	chr12	49967599	49967838	+	1	NA	intron (ENST00000551733.5, intron 1 of 5)	protein_coding-intron (ENST00000489786.5, intron 1 of 6)	479	ENST00000551733.5	ENSG00000086159	ENST00000315520			AQP6			protein_coding
chr6-59	chr6	6703807	6704082	+	1	NA	TTS (ENST00000648205.1)	lncRNA-TTS (ENST00000648205.1)	-6533	ENST00000702289.1	ENSG00000287497	ENST00000663164			ENSG00000287497			lncRNA
chr11-62	chr11	64267371	64267667	+	1	NA	exon (ENST00000279230.12, exon 31 of 31)	protein_coding-exon (ENST00000279230.12, exon 31 of 31)	-2543	ENST00000546139.5	ENSG00000173264	ENST00000536282			GPR137			protein_coding
chr12-50	chr12	52143724	52143996	+	1	NA	Intergenic	Intergenic	-20255	ENST00000640420.1	ENSG00000258279	ENST00000665995			LINC00592			lncRNA
chr11-217	chr11	66345057	66345321	+	1	NA	promoter-TSS (ENST00000359957.8)	protein_coding-promoter-TSS (ENST00000359957.8)	-64	ENST00000529544.1	ENSG00000174744	ENST00000524699			BRMS1			protein_coding
chr4-103	chr4	51844734	51844996	+	1	NA	promoter-TSS (ENST00000504661.1)	protein_coding-promoter-TSS (ENST00000504661.1)	-19	ENST00000504661.1	ENSG00000109184	ENST00000509376			DCUN1D4			protein_coding
chr17-461	chr17	7836917	7837160	+	1	NA	promoter-TSS (ENST00000684806.2)	lncRNA-promoter-TSS (ENST00000684806.2)	556	ENST00000684889.1	ENSG00000288748	ENST00000684889			ENSG00000288748			lncRNA
chr11-94	chr11	62787204	62787474	+	1	NA	promoter-TSS (ENST00000333449.9)	protein_coding-promoter-TSS (ENST00000333449.9)	-63	ENST00000333449.9	ENSG00000185475	ENST00000532345			TMEM179B			protein_coding
chr9-116	chr9	135961341	135961619	+	1	NA	promoter-TSS (ENST00000371756.4)	protein_coding-promoter-TSS (ENST00000371756.4)	-107	ENST00000371756.4	ENSG00000130560	ENST00000471163			UBAC1			protein_coding
chr20-320	chr20	57112518	57112615	+	1	NA	intron (ENST00000652038.1, intron 1 of 2)	lncRNA-intron (ENST00000652038.1, intron 1 of 2)	1926	ENST00000652038.1	ENSG00000203266	ENST00000652038			ENSG00000203266			lncRNA
chr13-7-2	chr13	27450457	27450687	+	1	NA	promoter-TSS (ENST00000381116.5)	protein_coding-promoter-TSS (ENST00000381116.5)	-8	ENST00000381120.8	ENSG00000122033	ENST00000484342			MTIF3			protein_coding
chr3-6	chr3	64331673	64331949	+	1	NA	intron (ENST00000498162.2, intron 2 of 4)	protein_coding-intron (ENST00000295902.11, intron 2 of 8)	-63637	ENST00000564377.6	ENSG00000163637	ENST00000639113			PRICKLE2			protein_coding
chr4-15	chr4	86831602	86831833	+	1	NA	intron (ENST00000273905.7, intron 3 of 5)	protein_coding-intron (ENST00000273905.7, intron 3 of 5)	17407	ENST00000505535.1	ENSG00000145283	ENST00000273905			SLC10A6			protein_coding
chr19-218	chr19	48552319	48552326	+	1	NA	exon (ENST00000201586.7, exon 1 of 7)	protein_coding-exon (ENST00000201586.7, exon 1 of 7)	150	ENST00000201586.7	ENSG00000088002	ENST00000201586			SULT2B1			protein_coding
